Time,SenderID,ReceiverID,Distance,SpeedSender,SpeedReceiver,PacketSize,RSSI,Delay,PacketLoss
0.173115,3,6,0,0,0,12,inf,73,0
0.179447,3,1,0,0,0,12,inf,79,0
0.180579,11,6,0,0,0,12,inf,80,0
0.182306,16,1,0,0,0,12,inf,82,0
0.189689,3,23,0,0,0,12,inf,89,0
0.191216,26,23,0,0,0,12,inf,91,0
0.192057,19,21,0,0,0,12,inf,92,0
0.195046,24,4,0,0,0,12,inf,95,0
0.199627,25,26,0,0,0,12,inf,99,0
0.200419,5,25,0,0,0,12,inf,100,0
0.200687,11,6,0,0,0,12,inf,0,0
0.201236,19,21,0,0,0,12,inf,1,0
0.202041,23,9,0,0,0,12,inf,102,0
0.204417,5,18,0,0,0,12,inf,104,0
0.20486,9,5,0,0,0,12,inf,104,0
0.205755,9,17,0,0,0,12,inf,105,0
0.20601,5,25,0,0,0,12,inf,6,0
0.206788,23,9,0,0,0,12,inf,6,0
0.207195,12,26,0,0,0,12,inf,107,0
0.20745,26,23,0,0,0,12,inf,7,0
0.208215,3,1,0,0,0,12,inf,8,0
0.208421,9,5,0,0,0,12,inf,8,0
0.208828,12,29,0,0,0,12,inf,108,0
0.209575,23,12,0,0,0,12,inf,109,0
0.210031,29,24,0,0,0,12,inf,110,0
0.210872,21,7,0,0,0,12,inf,110,0
0.21114,5,18,0,0,0,12,inf,11,0
0.211372,23,12,0,0,0,12,inf,11,0
0.212749,21,7,0,0,0,12,inf,12,0
0.213156,21,2,0,0,0,12,inf,113,0
0.213599,7,29,0,0,0,12,inf,113,0
0.214041,21,2,0,0,0,12,inf,14,0
0.215137,6,2,0,0,0,12,inf,115,0
0.215392,6,2,0,0,0,12,inf,15,0
0.216155,24,9,0,0,0,12,inf,116,0
0.218112,7,18,0,0,0,12,inf,118,0
0.219085,24,4,0,0,0,12,inf,19,0
0.219343,24,9,0,0,0,12,inf,19,0
0.21975,24,2,0,0,0,12,inf,119,0
0.220044,3,6,0,0,0,12,inf,20,0
0.220302,24,2,0,0,0,12,inf,20,0
0.221133,26,14,0,0,0,12,inf,121,0
0.221388,26,14,0,0,0,12,inf,21,0
0.221646,3,23,0,0,0,12,inf,21,0
0.2231,12,26,0,0,0,12,inf,23,0
0.223306,12,29,0,0,0,12,inf,23,0
0.224635,4,24,0,0,0,12,inf,124,0
0.226154,25,26,0,0,0,12,inf,26,0
0.226561,2,5,0,0,0,12,inf,126,0
0.227693,24,14,0,0,0,12,inf,127,0
0.230568,4,24,0,0,0,12,inf,30,0
0.23113,2,5,0,0,0,12,inf,31,0
0.232135,2,14,0,0,0,12,inf,132,0
0.233312,19,10,0,0,0,12,inf,133,0
0.233606,19,10,0,0,0,12,inf,33,0
0.234116,24,14,0,0,0,12,inf,34,0
0.245171,2,14,0,0,0,12,inf,45,0
0.245788,18,14,0,0,0,12,inf,145,0
0.246884,0,8,8.51173,0.4,0,12,-46.4592,146,0
0.248449,0,8,8.51173,0.4,0,12,-46.4592,48,0
0.24928,4,7,0,0,0,12,inf,149,0
0.250422,27,14,0,0,0,12,inf,150,0
0.251604,27,14,0,0,0,12,inf,51,0
0.252159,18,14,0,0,0,12,inf,52,0
0.252973,4,7,0,0,0,12,inf,52,0
0.253192,16,1,0,0,0,12,inf,53,0
0.254764,14,12,0,0,0,12,inf,154,0
0.25543,25,8,0,0,0,12,inf,155,0
0.257166,8,21,0,0,0,12,inf,157,0
